pokemonId,latitude,longitude,appearedLocalTime,cluster
25,40.977397,-81.306459,2016-09-07T22:49:33,4
100,40.923883,9.504740,2016-09-07T22:49:33,3
79,47.662451,-122.301201,2016-09-07T22:49:31,2
138,53.000503,6.552558,2016-09-07T22:49:31,3
16,39.751325,-84.088785,2016-09-07T22:49:28,4
13,39.523514,-84.367964,2016-09-07T22:49:26,4
19,49.256356,14.721498,2016-09-07T22:49:26,3
16,39.523509,-84.356218,2016-09-07T22:49:25,4
25,26.231700,-98.195712,2016-09-07T22:49:23,2
16,49.159633,-123.017583,2016-09-07T22:49:18,2
123,52.995169,6.549973,2016-09-07T22:49:17,3
13,49.397026,13.287517,2016-09-07T22:49:16,3
23,-22.918070,-43.248939,2016-09-07T22:49:09,1
92,39.744421,-84.085567,2016-09-07T22:49:07,4
13,39.524274,-84.357039,2016-09-07T22:49:06,4
127,25.724872,-100.372467,2016-09-07T22:49:06,2
39,41.072901,-81.473340,2016-09-07T22:49:03,4
120,48.742079,2.401962,2016-09-07T22:49:03,3
16,38.975392,-77.535653,2016-09-07T22:49:03,4
19,38.833618,-77.083742,2016-09-07T22:49:02,4
19,41.599056,-87.842428,2016-09-07T22:49:02,4
13,52.335164,-6.457264,2016-09-07T22:49:01,3
14,38.973600,-77.529472,2016-09-07T22:48:55,4
124,43.771321,-79.212996,2016-09-07T22:48:55,4
16,52.335760,-6.458576,2016-09-07T22:48:55,3
16,26.233664,-98.193406,2016-09-07T22:48:54,2
19,37.603844,-77.378065,2016-09-07T22:48:54,4
13,35.535774,139.462053,2016-09-07T22:48:52,0
16,39.750577,-84.089858,2016-09-07T22:48:51,4
13,39.524547,-84.365993,2016-09-07T22:48:50,4
19,52.401213,16.928008,2016-09-07T22:48:46,3
19,48.746406,2.405307,2016-09-07T22:48:43,3
16,25.720654,-100.370098,2016-09-07T22:48:43,2
147,37.599761,-122.366498,2016-09-07T22:48:43,2
1,60.512967,4.908104,2016-09-07T22:48:43,3
10,39.524648,-84.358107,2016-09-07T22:48:42,4
13,38.857985,-77.344870,2016-09-07T22:48:41,4
13,47.664215,-122.297505,2016-09-07T22:48:37,2
98,41.850287,12.588481,2016-09-07T22:48:37,3
23,36.851194,-121.420841,2016-09-07T22:48:37,2
19,40.979518,-81.300354,2016-09-07T22:48:35,4
102,48.747698,2.403577,2016-09-07T22:48:35,3
44,-22.915874,-43.255891,2016-09-07T22:48:34,1
16,38.854196,-77.345499,2016-09-07T22:48:31,4
19,52.833712,-6.924419,2016-09-07T22:48:30,3
19,52.400546,16.929634,2016-09-07T22:48:28,3
19,38.978555,-77.532249,2016-09-07T22:48:28,4
41,48.743603,2.404194,2016-09-07T22:48:26,3
47,36.852220,-121.422002,2016-09-07T22:48:25,2
19,36.855846,-121.431377,2016-09-07T22:48:24,2
16,41.598932,-87.835827,2016-09-07T22:48:24,4
118,49.399233,13.288682,2016-09-07T22:48:23,3
69,39.744412,-84.085402,2016-09-07T22:48:23,4
133,47.663924,-122.291348,2016-09-07T22:48:22,2
16,37.603967,-77.376181,2016-09-07T22:48:21,4
21,40.982263,-81.303535,2016-09-07T22:48:20,4
27,25.720589,-100.372292,2016-09-07T22:48:18,2
16,41.598831,-87.842889,2016-09-07T22:48:17,4
16,48.744405,2.403386,2016-09-07T22:48:13,3
13,39.646656,-77.710824,2016-09-07T22:48:13,4
66,35.538108,139.460384,2016-09-07T22:48:11,0
16,52.997640,6.543361,2016-09-07T22:48:10,3
